ja,yes
nein,no
vielleicht,maybe
bitte,please
danke,thank you
entschuldigung,sorry
alles klar,alright
Hilfe!,Help!
ein bisschen langsamer bitte,a little slower please
Gesundheit!,Bless you!
Prost!,Cheers!
wo,where
wann,when
wer,who
warum,why
Name,name
Wie heißen Sie?,What's your name?
Ich heiße…,My name is…
Ich bin…,I am…
Es ist nett Sie kennenzulernen.,It's nice to meet you.
Ich bin X Jahre alt.,I am X years old.
Ich komme aus…,I am from…
Wie alt sind Sie?,How old are you? 
hallo,hello
Guten Morgen,Good morning
Guten Tag,Good afternoon
Guten Abend,Good evening
Gute Nacht,Good night
Tschüss,Goodbye
Auf Wiedersehen,See you
Wie geht es Ihnen?,How are you?
gut,good
schlecht,bad
Wie geht’s?,How's it going?
Was geht?,What's up?
Schön Sie zu sehen.,Good to see you.
Nett Sie kennenzulernen,Pleased to meet you
Mach’s gut,Take care
Lange nicht gesehen,Long time no see
Reise,travel
